""" HoloLens",HoloLens
delivery,delivery
demand,demand
demanding games,demanding game
demanding processing,demanding processing
demands,demand
democracy,democracy
democratic governments,democratic government
democratic values,democratic
democratic world,democratic
demokratische Prozesse,Prozeß
demonstrated ineffectiveness,demonstrated ineffectiveness
demonstrated readiness level,demonstrated readiness level
demonstration,demonstration
demos,demos
denial,denial
dense cluster,dense cluster
dense code,dense code
dense downtowns,dense downtown
dense urban battlespace,dense urban battlespace
density,density
density of representations,density representation
department-wide simulation capability,department wide simulation capability
dependence,dependence
deployment,deployment
depth,depth
depth H,depth
depth information,depth
depth maps,depth map
derartige Kooperationen,Kooperation
deren Hilfe,Hilfe
deren Implementierung,Implementierung
deren Unternehmen,Unternehmen
deren tatsächliches Eintreten,Eintreten
derivative,derivative
derivative of int,derivative int
derivative of integrals,derivative integral
derzeit verfügbaren Kombinationen,Kombination
derzeitigen Kräften,Kraft
description,description
design,design
design and engineering,design engineer
design and testing,design testing
design concepts,design concept
design process,design process
design teams,design team
design vision,design vision
designer,designer
designers,designer
designers and app,designers app
desire,desire
desired diversity,desired diversity
desired imagery,desired imagery
desktop computers,desktop
desktop trainers,desktop trainer
dessen Ziel,Ziel
destiny Stuff,destiny stuff
detailed comparison,detailed comparison
detailed pixel-wise labels,detailed pixel wise label
detection,detection
determinant Homology,determinant homology
deutsche Kräfte,Kraft
deutschen Streitkräften,Streitkräften
deutschsprachige Zusammenfassung,Zusammenfassung
deutschsprachigen Raum,Raum
devastating second wave,devastating wave
developed model,developed model
developer,developer
developer API,developer API
developer and coterie,developer coterie
developer talks,developer talk
developer tool,developer tool
developers,developer
developers and professionals,developers professional
developers and startups,developers startup
developers and users,developers user
developing countries,developing country
developing economies,developing economy
developing nations,developing nation
developing relationships,developing relationship
developing world,developing
development,development
development and adoption,development adoption
development and deployment,development deployment
development of China,development China
development risk,development risk
device,device
device's features,device feature
devices,device
device’s screen,device screen
diameter foveola,diameter foveola
dickes Kabel,Kabel
diese Arbeitszweise,Arbeitszweise
diese Weise,Weise
diese Zusammenhänge,Zusammenhang
diese maßgeblichen Technologien,Technologie
diesem Ansatz,Ansatz
diesem Artikel,Artikel
diesem Grund,Grund
diesem Workshop,Workshop
dieser Art,Art
dieser Bestrebungen,Bestrebungen
dieser Entwicklung,Entwicklung
dieser Erde,Erde
dieser Fähigkeitslücke,Fähigkeitslücke
dieser JISR-Prozess,JISR Prozess
dieser kabellosen Virtual-Reality-Brille,Virtual Reality Brille
dieser neuen Materialklasse,Materialklasse
dieses Maßnahmenpakets,Maßnahmenpakets
dieses „Stolperdrahtes,Stolperdrahtes
difference,difference
differences,difference
different DL approaches,approach
different audiences,audience
different closures,closure
different combination,combination
different composition,composition
different focal planes,focal plane
different force levels,force level
different geophysical fields,geophysical field
different ideals,ideal
different inductive biases,inductive bias
different input methods,input method
different kinds,kind
different levels,level
different major cities,major city
different modalities,modality
different motives,motive
different natures,nature
different regions,region
different scenes,scene
different stages,stage
different story,story
different studies,study
different subpopulations,subpopulation
different “audiences,audience
"different, ambitious goals",ambitious goal
differentiable functions,differentiable function
differentiable programming capabilities,differentiable programming capability
differential,differential
differing,differ
differing facets,differing facet
differing scale,differing scale
difficult conversations,difficult conversation
difficult problems,difficult problem
difficult simulations,difficult simulation
difficult time,difficult time
diffraction,diffraction
diffuse,diffuse
diffusion,diffusion
digital arena,digital arena
digital cockpit,digital cockpit
digital commands,digital command
digital devices,digital device
digital ectoplasm,digital ectoplasm
digital efforts,digital effort
digital games,digital game
digital image processing,digital image processing
digital innovators,digital innovator
digital interest,digital
digital marketing triage,digital marketing triage
digital media,digital medium
digital realms,digital realm
digital space,digital space
digital stories,digital story
digitale Bildung,Bildung
digitale Daten,Datum
digitale Revolution,Revolution
digitale Souveränität,Souveränität
digitale Technologien,Technologie
digitalen Netzen,Netz
digitalen Transformation,Transformation
dihedral group,dihedral group
diktat,diktat
dilapidated landscape,dilapidated landscape
dilution factor,dilution factor
dilution rate,dilution rate
dimension corresponds,dimension correspond
dimension semantic category,dimension semantic category
dimensions,dimension
diminished cooperation,diminished cooperation
diminutive size,diminutive size
dinosaure,dinosaure
direct access,direct access
direct bijection DFS,direct bijection DFS
direct competition,direct competition
direct impact,direct impact
direct manipulation,direct manipulation
direct translation,direct translation
direction,direction
director,director
director Chris Milk,director Chris milk
director of research,director
director of strategy,director strategy
direkt integrierte Iris-Erkennung,Iris Erkennung
direkte Nachbarn,Nachbar
dirty projects,dirty project
disabilities,disability
disadvantages,disadvantage
disaster,disaster
discernible views,discernible view
discontent,discontent
discovery,discovery
discovery and assessment,discovery assessment
discrepancies,discrepancy
discrepancy,discrepancy
discrete puffs,discrete puff
discrete training need,discrete training
discrimination,discrimination
discrimination and inequalities,discrimination inequalitie
discussion,discussion
discussions,discussion
disease,disease
disease beliefs,disease belief
disease transmission,disease transmission
disenchanting sequel,disenchanting sequel
disgust facial expression,disgust facial expression
disillusionment,disillusionment
disorder,disorder
disordered molecules,disordered molecule
disparate locations,disparate location
disparate simulators,disparate simulator
display screen,display screen
displays,display
displays and TVs,displays TVs
displays and robotics,displays robotic
displays and us,displays
disproportionately people,disproportionately people
disruption,disruption
distance,distance
distance metrics,distance metric
distant kin groups,distant kin group
distant menu,distant menu
distant object,distant object
distant objects,distant object
distinct advantage,distinct advantage
distinct lack,distinct lack
distinct numbers,distinct number
distinct purposes,distinct purpose
distinct type,distinct type
distinction,distinction
distinctions,distinction
distinctions of form,distinctions form
distributed training,distributed training
distribution,distribution
distribution and consumption,distribution consumption
distribution of gender,distribution gender
distrust,distrust
diverse force,diverse force
diverse groups,diverse group
diverse industries,diverse industry
diverse military,diverse military
diverse range,diverse range
diverse strands,diverse strand
diverse teammates,diverse teammate
diversen Patenten Apple,Patenten Apple
diversity,diversity
diversity and fighting,diversity fight
diversity and inclusion,diversity inclusion
diversity and inclusivity,diversity inclusivity
diversity training,diversity training
diversity-related training,diversity training
divided society,divided society
diving helmet,diving helmet
divisions,division
divisive public issues,divisive public issue
divisors,divisor
doctors,doctor
document,document
documentation,documentation
documentation purposes,documentation purpose
documents,document
doi,doi
dollars,dollar
domain,domain
domain-driven data gathering,domain driven data gather
domain-specific datasets,domain specific dataset
domains,domain
domestic aviation,domestic aviation
domestic helper,domestic helper
dominance,dominance
dominant category,dominant category
dominant culture,dominant culture
dominant group,dominant group
dominant role,dominant role
door,door
doors,door
double frequency,double frequency
double-down,double
doubles,double
downside,downside
downtown,downtown
drafts,draft
drastically faster network,drastically faster network
drawings,drawing
dream of mobility,dream mobility
drei Divisionsäquivalente,Divisionsäquivalente
drei Kategorien,Kategorie
drei benötigten Kernkompetenzen,Kernkompetenzen
drei verschiedene Motoren,Motor
dreidimensionale Darstellung,Darstellung
dreidimensionalen Seekriegführung,Seekriegführung
dreistufige Strategie,Strategie
drift,drift
drift issues,drift issue
dritte Modulbereich,Modulbereich
drive-in skyscrapers,drive skyscraper
driverless car,driverless car
drone operator,drone operator
drones,drone
drone’s low cost,drone cost
drone’s onboard cameras,drone onboard camera
drone’s sensors,drone sensor
drop,drop
drop and air,drop air
drop size distribution,drop size distribution
dropdowns,dropdown
droplet settling,droplet settle
droplet-borne pathogen,droplet borne pathogen
droplets of radius,droplets radius
droplets of s,droplets
droplets of sputum,droplets sputum
drops of r,drops
drug repositioning,drug reposition
dual-band GPS sensor,dual band GPS sensor
dual-use application,dual application
duktape Kebab,duktape Kebab
dumme Kommentare,Kommentar
dumpster,dumpster
durable reductions,durable reduction
durchsetzungsfähige fliegende Plattformen,Plattform
dust,dust
dynamic civil society,dynamic civil society
dynamic environment,dynamic environment
dynamic events,dynamic event
dynamic initiatives,dynamic initiative
dynamic interrlationship,dynamic interrlationship
dynamic target,dynamic target
dynamics,dynamic
dynamics of air,dynamics air
e-learning programme,learning programme
"e.g., microprocessors",microprocessor
"e.g., weaving",weave
e48448,e48448
earlier Bloomberg report,earlier Bloomberg report
early adopter,early adopter
early days,early day
early players,early player
early trial,early trial
early version,early
ease of use,ease
eastern EU countries,eastern country
echten Bedrohungen,Bedrohung
echtzeitnahen Zugriff,Zugriff
economic advantages,economic advantage
economic reasons,economic reason
economic security,economic security
economic support,economic support
economics,economic
economies,economy
economy,economy
ecosystem,ecosystem
ecosystem of learning,ecosystem learn
edge,edge
edge hardware,edge hardware
edge length,edge length
editorial control,editorial control
education,education
"education
 Oculus Rift",education Oculus Rift
education secretary,education secretary
educational austerity,educational austerity
educational content,educational content
educators,educator
educators and trainees,educators trainee
effect estimates,estimate
effective use,effective
effectiveness,effectiveness
effectiveness of diversity,effectiveness diversity
effectiveness of people,effectiveness people
effects and filters,effects filter
effects of appearance,effects appearance
effects of diversity,effects diversity
effects of microaggressions,effects microaggression
effects of obesity,effects obesity
efficacy,efficacy
efficacy of combat,efficacy combat
efficiency,efficiency
efficiency and effectiveness,efficiency effectiveness
efficient algorithm,efficient algorithm
efficient parallelization,efficient parallelization
efficient review,efficient review
effiziente Integration,Integration
effiziente Parallelprogrammierung,Parallelprogrammierung
effiziente Rollenverteilung,Rollenverteilung
effort,effort
efforts,effort
egalitarianism,egalitarianism
eggshells,eggshell
eigene Teilnahme,Teilnahme
eigenem Bekunden,Bekunden
eigenen Angaben,Angabe
eigenen Entscheidungszyklen,Entscheidungszyklen
eigenen Fähigkeitsentwicklung,Fähigkeitsentwicklung
eigenen Projektes,Projektes
eigenen Truppenführer,Truppenführer
eigenen Vertextruppen,Vertextruppen
eigener Entwicklungen,Entwicklung
eigener Truppe,Truppe
eigener Vorlagen,Vorlage
"einem ""Geheimlabor",Geheimlabor
einem All-IP-Ansatz,Ansatz
einem Ausbildungsplatz,Ausbildungsplatz
einem Baukastensystem,Baukastensystem
einem Bericht,Bericht
einem Blick,Blick
einem Blogbeitrag,Blogbeitrag
einem Blogeintrag,Blogeintrag
einem Drohnenprojekt,Drohnenprojekt
einem Eigengewicht,Eigengewicht
einem Finanzprofi,Finanzprofi
einem Gewicht,Gewicht
einem Glassubstrat,Glassubstrat
einem RCS,RCS
einem Soldaten,Soldat
einem Tageszugang,Tageszugang
einem Trend,Trend
einem derartigen Szenario,Szenario
einem eingebauten Nebelfilter,Nebelfilter
einem entsprechenden Hintergrund,Hintergrund
einem europäischen Wettbewerb,Wettbewerb
einem experimentellen Stadium,Stadium
einem logistischen Netzwerk,Netzwerk
einem maritimen Verband,Verband
einem mehrjährigen Vergabeverfahren,Vergabeverfahren
einem neuen Report,Report
einem potenziellen Gegner,Gegner
einem raschen Wandel,Wandel
einem spezifischen Anwendungszweck,Anwendungszweck
einem starken Abbau,Abbau
einem umfangreichen Netzwerk,Netzwerk
einem vernetzten Ansatz,Ansatz
einem virtuellen Zug,Zug
einem „verlegefähigen“ Anteil,Anteil
"einen ""Durchblick",Durchblick
einen Akkuwechsel,Akkuwechsel
einen Bildbereich,Bildbereich
einen Dekarbonisierungspfad,Dekarbonisierungspfad
einen Echoeffekt,Echoeffekt
einen Exporter,Exporter
einen Fähigkeitsschwerpunkt,Fähigkeitsschwerpunkt
einen Generator,Generator
einen Output-Generator,Output Generator
einen Schritt,Schritt
einen Strahl,Strahl
einen Zeitraum,Zeitraum
einen besseren Überblick,Überblick
einen deutschen Spezialisten,Spezialist
einen diesel-elektrischem Hybridantrieb,Hybridantrieb
einen digitalen Übergang,Übergang
einen eigenen Vertex,Vertex
einen elektrischen 4×4-Radantrieb,Radantrieb
einen engen Austausch,Austausch
einen entscheidenden Wettbewerbsvorteil,Wettbewerbsvorteil
einen frühzeitigen Blick,Blick
einen gemeinsamen Schirm,Schirm
einen guten Gesprächspartner,Gesprächspartner
einen inneren Luftdruck,Luftdruck
einen mehrjährigen Plan,Plan
einen neuen Modifier,Modifier
einen optionalen Merlin,Merlin
einen sicheren Mischverkehr,Mischverkehr
einen tiefen Einblick,Einblick
einen wesentlichen Schutz,Schutz
einen Überblick,Überblick
einen Übergang,Übergang
"einer ""naturgetreuen Mixed-Reality-Umgebung",Mixed Reality Umgebung
einer Azimutauflösung,Azimutauflösung
einer Bildbearbeitung,Bildbearbeitung
einer Brennstoffzelle,Brennstoffzelle
einer Einsatzübung,Einsatzübung
einer Elevationsauflösung,Elevationsauflösung
einer Entfernungsauflösung,Entfernungsauflösung
einer Entscheidung,Entscheidung
einer FCAS-Konzeptstudie,FCAS Konzeptstudie
einer Geschwindigkeit,Geschwindigkeit
einer Grundkonstruktion Grundkörper,Grundkonstruktion Grundkörper
einer Hand,Hand
einer Höhe,Höhe
einer Kommunikation,Kommunikation
einer Linux Distribution,Linux Distribution
einer Live-Feuerwehrübung,Live Feuerwehrübung
einer Minute,Minute
einer NATO-Einheit,NATO Einheit
einer Option,Option
einer Persönlichkeit,Persönlichkeit
einer Phase,Phase
einer RTX-Karte,RTX Karte
einer Raupenkette,Raupenkette
einer Software,Software
einer Stadt,Stadt
einer Stückzahl,Stückzahl
einer Tischdecke,Tischdecke
einer Tochtergesellschaft,Tochtergesellschaft
einer Totzone,Totzone
einer U-Boot-Jagd-Konfiguration,Boot Jagd Konfiguration
einer Untersuchung,Untersuchung
einer Verschmelzung,Verschmelzung
einer Vielfalt,Vielfalt
einer Waffe,Waffe
einer Weichkörpersimulation,Weichkörpersimulation
einer aktuellen Studie,Studie
einer anderen Person,Person
einer deutschen Polizei,Polizei
einer eigenständigen Stellschraube,Stellschraube
einer entsprechenden Politik,Politik
einer frühen Phase,Phase
einer konkreten Prüfung,Prüfung
einer leichten AR-Brille,Brille
einer neuen Art,Art
einer notwendigen IT-Unterstützung,Unterstützung
einer optionalen Referenzanlage,Referenzanlage
einer sicheren Remote-Arbeit,Remote Arbeit
einer umfangreichen Kombination,Kombination
einer zeitgerechten Informationsbedarfsdeckung,Informationsbedarfsdeckung
"eines ""High-End-iPhone",High
eines Avatars,Avatars
eines EU-Projekts,Projekts
eines Kampfschiffes,Kampfschiffes
eines Kontrollmoduls,Kontrollmoduls
eines LFTASS,LFTASS
eines Szenarios,Szenario
eines Wärmebildgeräts,Wärmebildgeräts
eines Zieles,Ziel
eines dezidierten Diversity,Diversity
eines gegnerischen Angriffs,Angriff
eines hybriden Fresnel-Linsen-Designs,Fresnel Linsen Designs
eines kontinuierlichen Ausbaus,Ausbau
einfache Fixierung,Fixierung
einfacher Systemkunde,Systemkunde
einfaches Modell,Modell
eingebetteter Analyse,Analyse
einheitliche Richtlinien,Richtlinie
einige Forschungsarbeiten,Forschungsarbeiten
einige Trends,Trend
einige neue Optionen,Option
einigen Monaten,Monat
einiger Kooperationspartner,Kooperationspartner
einsatzgleichen Verpflichtungen,Verpflichtung
einzelnen Entwicklungsschritte,Entwicklungsschritte
einzelnen Komponenten,Komponente
einzelnen Sensoren,Sensor
einzigartige Designfreiheit,Designfreiheit
einzige Ziel,Ziel
einzige europäische Unternehmen,Unternehmen
einziger Anbieter,Anbieter
einziger Hersteller,Hersteller
either lockdowns,lockdown
either the Institute,Institute
ejected droplets,ejected droplet
election cycle,election cycle
election influence,election influence
electoral success,electoral success
electorates,electorate
electric cars,electric car
electricity grids,electricity grid
electrode selection Link,electrode selection link
electrodes,electrode
electroencephalography (EEG) signals,electroencephalography EEG signal
electromagnetic procedures,electromagnetic procedure
electromyography device,electromyography device
electronic displays,electronic display
electronic jamming,electronic jam
electronic tagging contracts,electronic tagging contract
electronic warfare training,electronic warfare training
electronics simulation space,electronics simulation space
electrostatic precipitators,electrostatic precipitator
elektrochemische Generatoren,Generator
elektromagnetische Absorption,Absorption
element,element
elementary example,elementary
elements,element
elements of virtual,elements virtual
elite,elite
elite colleges,elite college
elite of Johannesburg,elite Johannesburg
elliptical machines,elliptical machine
email,email
email update,email update
emails,email
embarrassingly parallel operations,embarrassingly parallel operation
embarrassment,embarrassment
embedded displays,embedded display
embedded speakers,embedded speaker
embedded system,embedded
embedding,embed
embodied understanding,embodied understand
emergence,emergence
emergence of Covid,emergence Covid
emerging artists,emerging artist
emerging community,emerging community
emerging technologies,emerging technology
emissions,emission
emissions-busting sectors,emissions busting sector
emitted droplets,emitted droplet
emotion recognition,emotion recognition
emotional connection,emotional connection
emotional distress,emotional distress
emotional verisimilitude,emotional verisimilitude
emotionalism,emotionalism
emotions empathy entification,emotions empathy entification
emphasis,emphasis
empirical investigation,empirical investigation
empirical literature,empirical literature
empirical threshold,empirical threshold
employees,employee
employers,employer
employment,employment
empty gestures,gesture
empty regions,region
empty streets,street
enchantment,enchantment
encirclement,encirclement
encirclement and counter,encirclement counter
enclosed space,enclosed space
encoder/decoder systems,encoder decoder
end of October,October
end of lockdown,lockdown
end users,user
end-user rights,user
end-users,users
end-users’ learning outcomes,users learning outcome
endeavour,endeavour
endemic misinformation,endemic misinformation
endorsement,endorsement
enduring capabilities,enduring capability
enemy aircraft,enemy aircraft
energies,energy
energy,energy
energy consumption,energy consumption
energy projects,energy project
energy saving,energy save
energy-efficient algorithm,energy efficient algorithm
engagement,engagement
engaging incoming threats,engaging incoming threat
engen Einsatzgebieten,Einsatzgebieten
engen Zusammenarbeit,Zusammenarbeit
engere Zusammenarbeit,Zusammenarbeit
engineer,engineer
engineer's mental state,engineer mental
engineering,engineer
engineering of Apple,engineering apple
engineers,engineer
engines,engine
enhanced viral shedding,enhanced viral
enlightenment,enlightenment
enormer Fortschritt,Fortschritt
enormous risk,enormous risk
enough money,money
enough renewable electricity,renewable electricity
entanglement Books,entanglement book
enterprise,enterprise
enterprise applications,enterprise application
enterprise customers,enterprise customer
enterprise-grade Omnicept customers,enterprise grade Omnicept customer
entertainment,entertainment
entertainment experiences,entertainment experience
entertainment media,entertainment medium
entertainment zone,entertainment zone
entire battle formations,entire battle formation
entire bridge,entire bridge
entire business,entire business
entire face,entire face
entire scenes,entire scene
entire supply chain,entire supply chain
entirely digital-first audience,digital audience
entirely new piece,piece
entirety,entirety
entities,entity
entrepreneur,entrepreneur
entrepreneurs,entrepreneur
entry,entry
entscheidende Bedeutung,Bedeutung
entsprechende Bedarfsforderungen,Bedarfsforderungen
entsprechenden Prozessen,Prozeß
entsprechender Steuerung,Steuerung
entsprechender Streitkräfteplanung,Streitkräfteplanung
entsprechender Talent-Pools,Talent Pools
environment,environment
environment secretary,environment secretary
environmental detail,environmental
environmental health officers,environmental health officer
environmental protection,environmental protection
envy,envy
epidemic,epidemic
epistemic threat,epistemic threat
epistemological architecture,epistemological architecture
epsilons,epsilon
equal value modulo,equal modulo
equal weight,equal weight
equality,equality
equations,equation
equip ground forces,equip ground force
equipment,equipment
equipment and aircraft,equipment aircraft
equity,equity
equivalent,equivalent
equivalent amount,equivalent
equivariant message-passing networks,equivariant message passing network
er und Rauch,Rauch
era,era
erforderliche Informationsüberlegenheit,Informationsüberlegenheit
erforderliche Interoperabilität,Interoperabilität
erforderliche Präzision,Präzision
ergänzenden militärischen Komponenten,Komponente
erhöhtem Maß,Maß
error class,error class
erste Ausgabe,Ausgabe
erste Gerüchte,Gerücht
erstmalige Umsetzung,Umsetzung
erstmals definierten Anforderungen,Anforderung
erweiterten Aufgabenspektrum,Aufgabenspektrum
erwähnten NATO-/EU-Initiativen,NATO Initiativen
es und Mitarbeiter,Mitarbeiter
escalation,escalation
espionage,espionage
essential evolution,essential evolution
essential gesture,essential gesture
essential medicines,essential medicine
essential road,essential road
essential sources,essential source
essentially issues,essentially issue
essentially the replacement,essentially replacement
essenzielle Eckpfeiler,Eckpfeiler
established pioneer,established pioneer
estimate,estimate
estimates,estimate
estimates and confidences,estimates confidence
estnische Zentrum,Zentrum
estnischen Verteidigungskräfte,Verteidigungskräfte
ethnic/ racial minorities,ethnic racial minority
ethnicity,ethnicity
etliche Rüstungsvorhaben,Rüstungsvorhaben
etwa Jim Balsilie,Jim Balsilie
etwa Kopiervorgänge,Kopiervorgänge
etwa zwei Flächen,Fläche
europaweites Ökosystem,Ökosystem
europäischen Ausschreibungsplattform TED,Ausschreibungsplattform TED
europäischen Leitmesse,Leitmesse
europäischen Pfeilers,Pfeiler
europäischer Nationen,Nation
euros,euro
euthanasia,euthanasia
euthanasia and suicide,euthanasia suicide
evaluation,evaluation
evaluations,evaluation
evasive maneuvers,evasive maneuver
even cultural clusters,cultural cluster
even distribution,distribution
even greater threat,greater threat
even higher scalability,higher scalability
even performance,performance
even sweeping aspects,sweeping aspect
even the equipment,equipment
even the equivalent,equivalent
even the idea,idea
even your appearance,appearance
event,event
events,event
eventual replacement,eventual replacement
eventuelle Zielpersonen,Zielpersonen
ever-present threat,threat
every VR session,VR session
every day reality,day reality
every finger,finger
every grain,grain
every hand position,hand position
every individual grain,individual grain
every new development,development
every semantic detail,semantic
every single environment,single environment
everyday actions,everyday action
everyday consumers,everyday consumer
evidence,evidence
evidence of discrimination,evidence discrimination
evidence of we,evidence
evidence of weight,evidence weight
evidence-based reasoning,evidence based reasoning
evolution,evolution
evolution of VR,evolution VR
evolutionary processes,evolutionary process
evolutionary terms,evolutionary term
evolve,evolve
exact same limitations,exact limitation
example testing,testing
examples of harm,examples harm
excellent balance,excellent balance
excellent opportunities,excellent opportunity
exception,exception
excess,excess
excess deaths,excess death
excess of 100x,excess 100x
exchange,exchange
excited headlines,excited headline
excited media,excited medium
exciting range,exciting range
exclusion,exclusion
exclusion of letters,exclusion letter
exclusionary attitudes,exclusionary attitude
execution,execution
execution and success,execution success
execution time,execution time
executive,executive
exercise,exercise
exercise bikes,exercise bike
exercises,exercise
exhaled pathogens,exhaled pathogen
exhaled volume,exhaled volume
exhibition,exhibition
exhibition fees,exhibition fee
exhibitions and experiences,exhibitions experience
existence,existence
existing Cosmos system,existing Cosmos
existing acceleration approaches,existing acceleration approach
existing aircraft,existing aircraft
existing city,existing city
existing federation,existing federation
existing financial centre,existing financial centre
existing frustrations,existing frustration
existing games,existing game
existing headsets,existing headset
existing materials,existing material
existing multi-domain operations,existing multi domain operation
existing optics,existing optic
existing pipeline,existing pipeline
existing problems,existing problem
existing simulations,existing simulation
existing systems,existing
existing theoretical framework,existing theoretical framework
existing training modules,existing training module
exoskeletons,exoskeleton
exoskeletons of crustaceans,exoskeletons crustacean
exoskeletons of insects,exoskeletons insect
expected price point,expected price point
expected rivalry,expected rivalry
expeditionary-type operations,expeditionary type operation
expense,expense
expense of neighbours,expense neighbour
experience,experience
experience creator,experience creator
experienced VR users,experienced VR user
experiences,experience
experiences and filters,experiences filter
experiences and training,experiences training
experiences and what,experiences
experiential learning,experiential learn
experimental feature,experimental feature
experimental freebie,experimental freebie
experimental studies,experimental study
experimental thermodynamic behavior,experimental thermodynamic behavior
experiments,experiment
experts,expert
explanation,explanation
explanations,explanation
explicit basis,explicit basis
explicit goal,explicit goal
exploitation,exploitation
exploitation of free-market,exploitation free market
explosive growth,explosive growth
explosives,explosive
expo,expo
exponent bits,exponent bit
exponentiation,exponentiation
exposed nature,exposed nature
exposure,exposure
exposure time,exposure time
expressed intention,expressed intention
expression,expression
expression and connection,expression connection
expression complexity,expression complexity
extended finger,extended finger
extended periods,extended period
extended reality,extended reality
extension,extension
extensive coverage,extensive coverage
extensive simulator network,extensive simulator network
extent,extent
extent multiple engines,extent multiple engine
external attributions,external attribution
external communication,external communication
external forcings,external forcing
external hyperlinks,external hyperlink
external investment,external investment
externally tracked controller,externally tracked controller
extrahierte Konversationen,Konversation
extraordinary amount,extraordinary
extraordinary photo essay,extraordinary photo essay
extraordinary thing,extraordinary
extreme computational simplicity,extreme computational simplicity
extreme detail,extreme
extremely crude input,extremely crude input
extremely scarce environment,extremely scarce environment
"extremen 
Einsatzbedingungen",Einsatzbedingungen
extremen Umgebungsbedingungen,Umgebungsbedingungen
extruded text string,extruded text string
eye,eye
eye movement,eye movement
eye-pinch gesture,eye pinch gesture
eye-related trackers,eye tracker
eye-tracking,eye tracking
eye-tracking system,eye tracking
eye-tracking tech,eye tracking tech
eyeball-tracking reading experiment,eyeball tracking reading experiment
eyemR-Vis,Vis
eyes,eye
eyes of t,eyes
eyesore,eyesore
eyestrain,eyestrain
eye’s lens,eye lens
face mask directives,face mask directive
face masks,face mask
face redress,face redress
facial-capture camera,facial capture camera
facial-capture system,facial capture
facial-tracking camera,facial tracking camera
facilities,facility
fact,fact
fact-checks,fact checks
factor,factor
factor analysis,factor analysis
factor rotation,factor rotation
factory,factory
factory floor,factory floor
faculty,faculty
failings,failing
failure,failure
failures,failure
fair bit,fair bit
fairly high rate,high rate
fairness,fairness
"faithful
backward propagation",faithful propagation
fake Facebook page,fake Facebook
fake Instagrams,fake instagram
fake hands,fake hand
fake semantic maps,fake semantic map
fallout,fallout
false alarms,false alarm
false claims,false claim
false narratives,false narrative
falsehood,falsehood
falsehoods,falsehood
falsified media,falsified medium
familiarity,familiarity
families,family
family,family
family members,family member
famous (Niels-Christian Fritsche,famous Niels Christian fritsche
fantasy,fantasy
fantasy-themed test,fantasy themed test
far east,east
far lower resolution,resolution
fashion,fashion
fast die Hälfte,Hälfte
fast learning,learn
fast production,production
fast-growing e-commerce business,growing commerce business
fast-tracking innovation,tracking innovation
faster mobile chips,faster mobile chip
faster training time,faster training time
fat,fat
fate,fate
fauna classification,fauna classification
favor,favor
fear facial expression,fear facial expression
fears fear,fears fear
feasibility,feasibility
feature,feature
features,feature
federal security checkpoints,federal security checkpoint
federation,federation
feedback,feedback
feedback and insights,feedback insight
feeds,feed
feel,feel
fehlende Schnittstellen,Schnittstellen
feindlicher Sensoren,Sensor
fellow,fellow
fellow applicants,fellow applicant
fellow distressed Airmen,fellow distressed airman
female applicants,female applicant
female cop,female cop
female physical attractiveness,female physical attractiveness
female soldier,female soldier
ferngesteuerte Mehrfachwirkungen,Mehrfachwirkungen
ferngesteuerten Fahrzeuge,Fahrzeug
ferngesteuerten Waffenstationen,Waffenstationen
festival goers,festival goer
festivals,festival
few bug fixes,bug
few connector roads,connector road
few hand gestures,hand gesture
few labeled examples,labeled
few months,month
few unifying principles,unifying principle
fiber products,fiber product
fictitious applicants,fictitious applicant
fictitious landscapes,fictitious landscape
fictitious residency applications,fictitious residency application
fidelity,fidelity
field,field
field of view,field view
field robotics,field robotic
fierce melee,fierce melee
fight,fight
fighter pilot's goal,fighter pilot goal
fighter training,fighter training
fighting,fight
figurative speech fire,figurative speech
file path rank,file path rank
film,film
film-making,film making
film-making and fashion,film making fashion
films,film
films and reality,films reality
filter,filter
filters,filter
filtration devices,filtration device
final analysis,final analysis
final round,final
final statistical model,final statistical model
finalen Rendering,Rendering
finalists,finalist
finance,finance
financial challenges,financial challenge
financial results,financial result
financial return,financial return
financial security,financial security
financial support,financial support
financing,financing
findings,finding
fine-tuned data,fine tuned datum
finger and thumb,finger thumb
finger joint,finger joint
fingers,finger
fingers and palm,fingers palm
finished video,finished video
finite endo-functions Number,finite endo functions number
finite precision,finite precision
finite sets,finite set
finstas,finsta
fire emoji,emoji
firm,firm
firm launch window,firm launch window
firm of analysts,firm analyst
firms,firm
first a quarter,quarter
first battery,battery
first demonstration,demonstration
first effort,effort
first flight,flight
first initial wave,initial wave
first metropolis,metropolis
first mixed-reality product,mixed reality product
first pair,pair
first place,place
first responders,responder
first six months,month
first smartwatch,smartwatch
first striking things,striking
first time,time
first two generations,generation
first year,year
"first, an understanding",understand
first-responder/warfighter readiness,responder warfighter readiness
fiscal dilemma,fiscal dilemma
fish scales,fish scale
fists,fist
fitness and m,fitness
fitness app,fitness app
fitness company,fitness company
five countries,country
fivefold,fivefold
fixed figure,fixed figure
flache Küstengewässer,Küstengewässer
flagship,flagship
flagship of Turkey,flagship Turkey
flag” effect,flag
flat screen,flat screen
flat screens,flat screen
flaws,flaw
flexibility,flexibility
flexible architecture,flexible architecture
fliegenden Waffensysteme,Waffensysteme
fliegerischen Besatzungen,Besatzung
fliegerischen Verfahren,Verfahren
flight crews,flight crew
flight deck,flight deck
flipping switches,flipping switch
floating point numbers,floating point number
floor,floor
floor effects,floor
